EPHB1,"['peptidyl-tyrosine phosphorylation', 'axon guidance', 'central nervous system projection neuron axonogenesis', 'protein autophosphorylation', 'neurogenesis', 'optic nerve morphogenesis', 'protein-containing complex binding', 'cell chemotaxis', 'dendrite', 'cytosol', 'glutamatergic synapse', 'positive regulation of synapse assembly', 'axon', 'receptor complex', 'negative regulation of satellite cell differentiation', 'plasma membrane', 'dendritic spine development', 'negative regulation of skeletal muscle satellite cell proliferation', 'transmembrane-ephrin receptor activity', 'dendritic spine morphogenesis', 'early endosome membrane', 'ephrin receptor signaling pathway', 'establishment of cell polarity', 'filopodium tip', 'modulation of chemical synaptic transmission', 'cell-substrate adhesion', 'detection of temperature stimulus involved in sensory perception of pain', 'neural precursor cell proliferation', 'axon guidance receptor activity', 'extracellular region', 'neuron projection', 'immunological synapse formation', 'integral component of plasma membrane', 'protein tyrosine kinase activity', 'extracellular exosome', 'negative regulation of signal transduction', 'angiogenesis', 'skeletal muscle satellite cell activation', 'transmembrane receptor protein tyrosine kinase activity', 'retinal ganglion cell axon guidance', 'endoplasmic reticulum', 'regulation of neuron death', 'regulation of JNK cascade', 'regulation of ERK1 and ERK2 cascade', 'camera-type eye morphogenesis', 'transmembrane signaling receptor activity', 'cytoplasm', 'negative regulation of apoptotic process', 'membrane raft', 'positive regulation of ERK1 and ERK2 cascade', 'cell differentiation']"
K6PP,"['identical protein binding', 'AMP binding', 'fructose 6-phosphate metabolic process', 'monosaccharide binding', 'canonical glycolysis', 'glucose catabolic process', '6-phosphofructokinase activity', 'protein-containing complex binding', 'nucleus', '6-phosphofructokinase complex', 'extracellular exosome', 'fructose-6-phosphate binding', 'cellular response to leukemia inhibitory factor', 'cytoplasm', 'metal ion binding', 'cadherin binding', 'membrane', 'cytosol', 'fructose 1,6-bisphosphate metabolic process', 'protein complex oligomerization']"
MRCKG,"['magnesium ion binding', 'microtubule organizing center', 'cell leading edge', 'cytosol', 'actin cytoskeleton reorganization', 'intracellular signal transduction']"
HCK,"['regulation of cell shape', 'respiratory burst after phagocytosis', 'peptidyl-tyrosine phosphorylation', 'positive regulation of cell proliferation', 'mesoderm development', 'protein autophosphorylation', 'Golgi apparatus', 'cell adhesion', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'cell projection', 'nucleoplasm', 'regulation of DNA-binding transcription factor activity', 'phosphotyrosine residue binding', 'protein tyrosine kinase activity', 'caveola', 'inflammatory response', 'integrin-mediated signaling pathway', 'focal adhesion', 'non-membrane spanning protein tyrosine kinase activity', 'innate immune response-activating signal transduction', 'cytokine-mediated signaling pathway', 'regulation of defense response to virus by virus', 'cytosol', 'extrinsic component of cytoplasmic side of plasma membrane', 'interferon-gamma-mediated signaling pathway', 'positive regulation of actin cytoskeleton reorganization', 'leukocyte degranulation', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'peptidyl-tyrosine autophosphorylation', 'actin filament', 'signaling receptor binding', 'plasma membrane', 'lysosome', 'leukocyte migration involved in immune response', 'negative regulation of apoptotic process', 'positive regulation of actin filament polymerization', 'cell differentiation', 'lipopolysaccharide-mediated signaling pathway', 'regulation of inflammatory response', 'transport vesicle', 'regulation of phagocytosis', 'regulation of podosome assembly']"
ROCK1,"['negative regulation of angiogenesis', 'negative regulation of amyloid precursor protein catabolic process', 'negative regulation of amyloid-beta formation', 'regulation of stress fiber assembly', 'Golgi membrane', 'negative regulation of protein binding', 'cortical actin cytoskeleton organization', 'negative regulation of membrane protein ectodomain proteolysis', 'apoptotic process', 'cytosol', 'positive regulation of cardiac muscle hypertrophy', 'negative regulation of biomineral tissue development', 'lamellipodium', 'regulation of establishment of cell polarity', 'regulation of keratinocyte differentiation', 'G-protein coupled receptor signaling pathway', 'regulation of amyloid-beta formation', 'positive regulation of amyloid-beta clearance', 'apical constriction', 'protein kinase activity', 'neutrophil degranulation', 'Rho protein signal transduction', 'plasma membrane', 'positive regulation of autophagy', 'vascular endothelial growth factor receptor signaling pathway', 'regulation of focal adhesion assembly', 'regulation of actin cytoskeleton organization', 'positive regulation of focal adhesion assembly', 'myoblast migration', 'metal ion binding', 'response to angiotensin', 'positive regulation of gene expression', 'negative regulation of myosin-light-chain-phosphatase activity', 'regulation of autophagy', 'ephrin receptor signaling pathway', 'secretory granule lumen', 'protein localization to plasma membrane', 'regulation of establishment of endothelial barrier', 'regulation of neuron differentiation', 'negative regulation of bicellular tight junction assembly', 'positive regulation of connective tissue replacement', 'extracellular region', 'leukocyte cell-cell adhesion', 'negative regulation of neuron apoptotic process', 'smooth muscle contraction', 'ruffle', 'neuron projection arborization', 'GTP-Rho binding', 'response to transforming growth factor beta', 'cytoplasmic stress granule', 'bleb assembly', 'signal transduction', 'neuron projection development', 'regulation of synaptic vesicle endocytosis', 'membrane to membrane docking', 'positive regulation of MAPK cascade', 'regulation of angiotensin-activated signaling pathway', 'I-kappaB kinase/NF-kappaB signaling', 'cytoskeleton', 'centriole', 'bleb', 'regulation of cell motility', 'leukocyte migration', 'regulation of cell adhesion', 'leukocyte tethering or rolling', 'actin cytoskeleton organization', 'amyloid-beta complex']"
RIOK1,"['maturation of SSU-rRNA', 'nucleoplasm', 'metal ion binding', 'methyltransferase complex', 'ribosomal small subunit biogenesis', 'positive regulation of rRNA processing', 'cytosol', 'preribosome, small subunit precursor', 'hydrolase activity']"
NEK2,"['positive regulation of telomere capping', 'chromosome segregation', 'protein autophosphorylation', 'condensed chromosome kinetochore', 'negative regulation of centriole-centriole cohesion', 'kinetochore', 'nucleolus', 'mitotic cell cycle', 'condensed nuclear chromosome', 'nucleoplasm', 'microtubule', 'cell division', 'spindle assembly', 'negative regulation of DNA binding', 'meiotic cell cycle', 'G2/M transition of mitotic cell cycle', 'blastocyst development', 'cytosol', 'regulation of attachment of spindle microtubules to kinetochore', 'protein phosphatase binding', 'regulation of mitotic nuclear division', 'spindle pole', 'protein kinase activity', 'regulation of mitotic centrosome separation', 'positive regulation of telomerase activity', 'centrosome', 'centrosome separation', 'metal ion binding', 'ciliary basal body-plasma membrane docking', 'mitotic sister chromatid segregation', 'positive regulation of telomere maintenance via telomerase', 'protein-containing complex', 'midbody', 'regulation of G2/M transition of mitotic cell cycle', 'mitotic spindle assembly']"
TSSK2,"['multicellular organism development', 'spermatid development', 'protein autophosphorylation', 'protein-containing complex binding', 'magnesium ion binding', 'nucleus', 'cytoplasm', 'centriole', 'acrosomal vesicle', 'peptidyl-serine phosphorylation', 'intracellular signal transduction']"
PGK1,"['gluconeogenesis', 'negative regulation of angiogenesis', 'muscle cell cellular homeostasis', 'glycolytic process', 'myoblast fusion', 'chemical synaptic transmission', 'ADP binding', 'canonical glycolysis', 'somatic muscle development', 'epithelial cell differentiation', 'extracellular space', 'extracellular exosome', 'phosphoglycerate kinase activity', 'plasminogen activation', 'protein-disulfide reductase activity', 'membrane', 'membrane raft', 'cytosol', 'phosphorylation', 'cellular response to hypoxia']"
MRCKA,"['identical protein binding', 'actomyosin structure organization', 'cell leading edge', 'actomyosin', 'magnesium ion binding', 'cell-cell junction', 'extracellular exosome', 'cytoplasm', 'cell migration', 'actin cytoskeleton reorganization', 'intracellular signal transduction', 'lamellipodium']"
